[2023-06-09 12:38:27,668][root][INFO] - Logger initialized
[2023-06-09 12:38:39,659][root][INFO] - Found 972 patients in this dataset
[2023-06-09 12:42:08,581][root][INFO] - Basic Split: 972 samples
[2023-06-09 12:42:08,605][root][INFO] - Train set has 786 samples, val has 88 samples, test has 98 samples
[2023-06-09 12:42:08,621][root][INFO] - 	[786] defaultdict(<class 'int'>, {1: 396, 0: 390})
[2023-06-09 12:42:08,637][root][INFO] - 	[88] defaultdict(<class 'int'>, {0: 44, 1: 44})
[2023-06-09 12:42:08,638][root][INFO] - 	[98] defaultdict(<class 'int'>, {0: 52, 1: 46})
[2023-06-09 12:42:08,795][root][INFO] - Train task initialized
[2023-06-09 12:42:08,796][root][INFO] - Starting training task...
[2023-06-09 12:42:08,796][root][INFO] - Doing a basic split...
[2023-06-09 13:58:27,017][root][INFO] - Epoch [94/200] Train Accuracy: 80.29%, Val Accuracy: 86.36%, Train Loss: 0.4515, Val Loss: 0.3859
[2023-06-09 13:59:15,680][root][INFO] - Epoch [95/200] Train Accuracy: 79.90%, Val Accuracy: 81.82%, Train Loss: 0.4716, Val Loss: 0.3966
[2023-06-09 14:00:06,366][root][INFO] - Epoch [96/200] Train Accuracy: 80.80%, Val Accuracy: 86.36%, Train Loss: 0.4581, Val Loss: 0.3690
[2023-06-09 14:00:54,981][root][INFO] - Epoch [97/200] Train Accuracy: 83.34%, Val Accuracy: 87.50%, Train Loss: 0.4306, Val Loss: 0.3897
[2023-06-09 14:01:43,619][root][INFO] - Epoch [98/200] Train Accuracy: 81.94%, Val Accuracy: 79.55%, Train Loss: 0.4517, Val Loss: 0.4574
[2023-06-09 14:02:32,182][root][INFO] - Epoch [99/200] Train Accuracy: 81.68%, Val Accuracy: 80.68%, Train Loss: 0.4483, Val Loss: 0.4262
[2023-06-09 14:03:20,847][root][INFO] - Epoch [100/200] Train Accuracy: 80.79%, Val Accuracy: 84.09%, Train Loss: 0.4657, Val Loss: 0.3910
[2023-06-09 14:04:09,445][root][INFO] - Epoch [101/200] Train Accuracy: 82.84%, Val Accuracy: 84.09%, Train Loss: 0.4133, Val Loss: 0.4105
[2023-06-09 14:04:58,167][root][INFO] - Epoch [102/200] Train Accuracy: 83.73%, Val Accuracy: 84.09%, Train Loss: 0.4178, Val Loss: 0.3854
[2023-06-09 14:05:46,760][root][INFO] - Epoch [103/200] Train Accuracy: 81.44%, Val Accuracy: 81.82%, Train Loss: 0.4488, Val Loss: 0.4157
[2023-06-09 14:06:35,432][root][INFO] - Epoch [104/200] Train Accuracy: 82.70%, Val Accuracy: 82.95%, Train Loss: 0.4315, Val Loss: 0.3968
[2023-06-09 14:07:24,014][root][INFO] - Epoch [105/200] Train Accuracy: 80.68%, Val Accuracy: 82.95%, Train Loss: 0.4425, Val Loss: 0.3920
[2023-06-09 14:08:12,662][root][INFO] - Epoch [106/200] Train Accuracy: 84.87%, Val Accuracy: 84.09%, Train Loss: 0.4047, Val Loss: 0.3890
[2023-06-09 14:09:01,267][root][INFO] - Epoch [107/200] Train Accuracy: 83.20%, Val Accuracy: 82.95%, Train Loss: 0.4277, Val Loss: 0.4130
[2023-06-09 14:09:50,366][root][INFO] - Epoch [108/200] Train Accuracy: 83.21%, Val Accuracy: 82.95%, Train Loss: 0.4343, Val Loss: 0.3848
[2023-06-09 14:10:42,935][root][INFO] - Epoch [109/200] Train Accuracy: 83.61%, Val Accuracy: 84.09%, Train Loss: 0.4096, Val Loss: 0.3982
[2023-06-09 14:11:33,304][root][INFO] - Epoch [110/200] Train Accuracy: 81.43%, Val Accuracy: 80.68%, Train Loss: 0.4502, Val Loss: 0.4910
[2023-06-09 14:12:26,208][root][INFO] - Epoch [111/200] Train Accuracy: 84.11%, Val Accuracy: 85.23%, Train Loss: 0.4237, Val Loss: 0.3769
